model_name,roc_auc,accuracy,precision,recall,f1,selected_threshold
xgboost,0.8011418511415205,0.804,0.5539671193709793,0.5840241145440844,0.5685986793837124,0.29000000000000004
random_forest,0.7998815043401374,0.8068333333333333,0.5625,0.5697061039939714,0.5660801198053164,0.55
logistic_regression,0.774451542322286,0.7923333333333333,0.5282229965156794,0.5712132629992465,0.5488776249094859,0.6100000000000001
